Borough,Cross Street Name,Date,Location,Off Street Name,On Cross Off,On Street Name,Time,Unique Key,Vehicle 1 Factor,Vehicle 1 Type,Vehicle 2 Factor,Vehicle 2 Type,Vehicle 3 Factor,Vehicle 3 Type,Vehicle 4 Factor,Vehicle 4 Type,Vehicle 5 Factor,Vehicle 5 Type,Zip Code,Cyclists Injured,Cyclists Killed,Latitude,Longitude,Motorists Injured,Motorists Killed,Number of Records,Pedestrians Injured,Pedestrians Killed,Persons Injured,Persons Killed
BROOKLYN,65 STREET,08/11/2016 00:00:00,"(40.6339615, -74.0147538)",,7 AVENUE65 STREET,7 AVENUE,30/12/1899 10:11:00,3556405,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11220,0,0,40.6339615,-74.0147538,0,0,1,0,0,0,0
BROOKLYN,EMPIRE BOULEVARD,10/03/2016 00:00:00,"(40.6631828, -73.9624487)",,FLATBUSH AVENUEEMPIRE BOULEVARD,FLATBUSH AVENUE,30/12/1899 20:36:00,3403651,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11225,0,0,40.6631828,-73.9624487,0,0,1,0,0,0,0
BROOKLYN,FOSTER AVENUE,25/01/2016 00:00:00,"(40.6299872, -73.9715677)",,OCEAN PARKWAYFOSTER AVENUE,OCEAN PARKWAY,30/12/1899 01:07:00,3376713,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11230,0,0,40.6299872,-73.9715677,0,0,1,0,0,0,0
BROOKLYN,18 AVENUE,11/02/2016 00:00:00,"(40.633111, -73.9721609)",,OCEAN PARKWAY18 AVENUE,OCEAN PARKWAY,30/12/1899 17:40:00,3387349,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11230,0,0,40.633111,-73.9721609,0,0,1,0,0,0,0
BROOKLYN,FOSTER AVENUE,19/02/2016 00:00:00,"(40.6299872, -73.9715677)",,OCEAN PARKWAYFOSTER AVENUE,OCEAN PARKWAY,30/12/1899 12:21:00,3392350,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11230,0,0,40.6299872,-73.9715677,0,0,1,0,0,0,0
BROOKLYN,AVENUE I,04/03/2016 00:00:00,"(40.6265698, -73.9709207)",,OCEAN PARKWAYAVENUE I,OCEAN PARKWAY,30/12/1899 10:05:00,3399973,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11230,0,0,40.6265698,-73.9709207,0,0,1,0,0,0,0
BROOKLYN,18 AVENUE,01/10/2016 00:00:00,"(40.633111, -73.9721609)",,OCEAN PARKWAY18 AVENUE,OCEAN PARKWAY,30/12/1899 11:10:00,3553216,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11230,0,0,40.633111,-73.9721609,0,0,1,0,0,0,0
BROOKLYN,FOSTER AVENUE,10/10/2016 00:00:00,"(40.6299872, -73.9715677)",,OCEAN PARKWAYFOSTER AVENUE,OCEAN PARKWAY,30/12/1899 17:10:00,3538744,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11230,0,0,40.6299872,-73.9715677,0,0,1,0,0,0,0
BROOKLYN,AVENUE I,27/10/2016 00:00:00,"(40.6259754, -73.9762346)",,MC DONALD AVENUEAVENUE I,MC DONALD AVENUE,30/12/1899 09:10:00,3549437,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11230,0,0,40.6259754,-73.9762346,0,0,1,0,0,0,0
BROOKLYN,18 AVENUE,10/11/2016 00:00:00,"(40.633111, -73.9721609)",,OCEAN PARKWAY18 AVENUE,OCEAN PARKWAY,30/12/1899 13:11:00,3558165,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11230,0,0,40.633111,-73.9721609,0,0,1,0,0,0,0
BROOKLYN,HOWARD AVENUE,06/01/2016 00:00:00,"(40.6694768, -73.9199662)",,EASTERN PARKWAYHOWARD AVENUE,EASTERN PARKWAY,30/12/1899 10:50:00,3366090,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11233,0,0,40.6694768,-73.9199662,0,0,1,0,0,0,0
BROOKLYN,HOWARD AVENUE,03/02/2016 00:00:00,"(40.6694768, -73.9199662)",,EASTERN PARKWAYHOWARD AVENUE,EASTERN PARKWAY,30/12/1899 09:45:00,3382939,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11233,0,0,40.6694768,-73.9199662,0,0,1,0,0,0,0
BROOKLYN,HOWARD AVENUE,07/02/2016 00:00:00,"(40.6694768, -73.9199662)",,EASTERN PARKWAYHOWARD AVENUE,EASTERN PARKWAY,30/12/1899 18:20:00,3385739,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11233,0,0,40.6694768,-73.9199662,0,0,1,0,0,0,0
BROOKLYN,HOWARD AVENUE,28/10/2016 00:00:00,"(40.6694768, -73.9199662)",,EASTERN PARKWAYHOWARD AVENUE,EASTERN PARKWAY,30/12/1899 03:10:00,3549083,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11233,0,0,40.6694768,-73.9199662,0,0,1,0,0,0,0
BROOKLYN,AVENUE U,29/10/2016 00:00:00,"(40.6098096, -73.9224976)",,FLATBUSH AVENUEAVENUE U,FLATBUSH AVENUE,30/12/1899 15:10:00,3551278,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11234,0,0,40.6098096,-73.9224976,0,0,1,0,0,0,0
BROOKLYN,ERSKINE STREET,28/01/2016 00:00:00,"(40.6528929, -73.8667311)",,GATEWAY DRIVEERSKINE STREET,GATEWAY DRIVE,30/12/1899 16:40:00,3379613,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11239,0,0,40.6528929,-73.8667311,0,0,1,0,0,0,0
BROOKLYN,ERSKINE STREET,07/02/2016 00:00:00,"(40.6528929, -73.8667311)",,GATEWAY DRIVEERSKINE STREET,GATEWAY DRIVE,30/12/1899 13:09:00,3385747,UNSPECIFIED,PASSENGER VEHICLE,UNSPECIFIED,SPORT UTILITY/STATION WAGON,,,,,,,11239,0,0,40.6528929,-73.8667311,0,0,1,0,0,0,0
