;delayFromFreeFlow;delayFromTypical;distance;endTime;eventCode;fullDesc;iconURL;id;impacting;lat;lng;parameterizedDescription;severity;shortDesc;startTime;type
0;0.0;0.0;0.0;2019-07-05T05:50:53;214;Fire department activity on 138th St Southbound between 68th Dr and Jewel Ave.;http://content.mqcdn.com/mqtraffic/incid_mod.png;111139848;False;40.72887;-73.827538;{u'direction': u'Southbound', u'roadName': u'138th St', u'position2': u'and', u'position1': u'between', u'crossRoad1': u'138th St / 68th Dr', u'crossRoad2': u' Jewel Ave ', u'eventText': u'Fire Department activity'};2;138th St S/B: fire department activity between 68th Dr and Jewel Ave;2019-07-05T04:48:48;4
1;0.0;0.0;0.07999999821186066;2019-07-05T06:36:04;520;Left and center lane blocked due to burst water main on 1st Ave Northbound from 24th St to 25th St.;http://content.mqcdn.com/mqtraffic/incid_mod.png;111075670;True;40.738171;-73.977608;{u'direction': u'Northbound', u'roadName': u'1st Ave', u'position2': u'to', u'position1': u'from', u'crossRoad1': u'1st Ave / 24th St', u'crossRoad2': u'1st Ave / 25th St', u'eventText': u'Lane (or Lanes) blocked, burst Water Main'};2;1st Ave N/B: left and center lane blocked from 24th St to 25th St;2019-07-04T12:00:02;4
0;0.0;0.0;0.0;2019-07-05T06:06:12;214;Fire department activity on 138th St Southbound between 68th Dr and Jewel Ave.;http://content.mqcdn.com/mqtraffic/incid_mod.png;111139848;False;40.72887;-73.827538;{u'direction': u'Southbound', u'roadName': u'138th St', u'position2': u'and', u'position1': u'between', u'crossRoad1': u'138th St / 68th Dr', u'crossRoad2': u' Jewel Ave ', u'eventText': u'Fire Department activity'};2;138th St S/B: fire department activity between 68th Dr and Jewel Ave;2019-07-05T04:48:48;4
1;0.0;0.0;0.07999999821186066;2019-07-05T06:36:04;520;Left and center lane blocked due to burst water main on 1st Ave Northbound from 24th St to 25th St.;http://content.mqcdn.com/mqtraffic/incid_mod.png;111075670;True;40.738171;-73.977608;{u'direction': u'Northbound', u'roadName': u'1st Ave', u'position2': u'to', u'position1': u'from', u'crossRoad1': u'1st Ave / 24th St', u'crossRoad2': u'1st Ave / 25th St', u'eventText': u'Lane (or Lanes) blocked, burst Water Main'};2;1st Ave N/B: left and center lane blocked from 24th St to 25th St;2019-07-04T12:00:02;4
0;0.0;0.0;0.0;2019-07-05T06:06:12;214;Fire department activity on 138th St Southbound between 68th Dr and Jewel Ave.;http://content.mqcdn.com/mqtraffic/incid_mod.png;111139848;False;40.72887;-73.827538;{u'direction': u'Southbound', u'roadName': u'138th St', u'position2': u'and', u'position1': u'between', u'crossRoad1': u'138th St / 68th Dr', u'crossRoad2': u' Jewel Ave ', u'eventText': u'Fire Department activity'};2;138th St S/B: fire department activity between 68th Dr and Jewel Ave;2019-07-05T04:48:48;4
1;0.0;0.0;0.07999999821186066;2019-07-05T06:36:04;520;Left and center lane blocked due to burst water main on 1st Ave Northbound from 24th St to 25th St.;http://content.mqcdn.com/mqtraffic/incid_mod.png;111075670;True;40.738171;-73.977608;{u'direction': u'Northbound', u'roadName': u'1st Ave', u'position2': u'to', u'position1': u'from', u'crossRoad1': u'1st Ave / 24th St', u'crossRoad2': u'1st Ave / 25th St', u'eventText': u'Lane (or Lanes) blocked, burst Water Main'};2;1st Ave N/B: left and center lane blocked from 24th St to 25th St;2019-07-04T12:00:02;4
0;0.0;0.0;0.0;2019-07-05T06:21:36;214;Fire department activity on 138th St Southbound between 68th Dr and Jewel Ave.;http://content.mqcdn.com/mqtraffic/incid_mod.png;111139848;False;40.72887;-73.827538;{u'direction': u'Southbound', u'roadName': u'138th St', u'position2': u'and', u'position1': u'between', u'crossRoad1': u'138th St / 68th Dr', u'crossRoad2': u' Jewel Ave ', u'eventText': u'Fire Department activity'};2;138th St S/B: fire department activity between 68th Dr and Jewel Ave;2019-07-05T04:48:48;4
1;0.0;0.0;0.07999999821186066;2019-07-05T06:36:04;520;Left and center lane blocked due to burst water main on 1st Ave Northbound from 24th St to 25th St.;http://content.mqcdn.com/mqtraffic/incid_mod.png;111075670;True;40.738171;-73.977608;{u'direction': u'Northbound', u'roadName': u'1st Ave', u'position2': u'to', u'position1': u'from', u'crossRoad1': u'1st Ave / 24th St', u'crossRoad2': u'1st Ave / 25th St', u'eventText': u'Lane (or Lanes) blocked, burst Water Main'};2;1st Ave N/B: left and center lane blocked from 24th St to 25th St;2019-07-04T12:00:02;4
0;0.0;0.0;0.0;2019-07-05T06:21:36;214;Fire department activity on 138th St Southbound between 68th Dr and Jewel Ave.;http://content.mqcdn.com/mqtraffic/incid_mod.png;111139848;False;40.72887;-73.827538;{u'direction': u'Southbound', u'roadName': u'138th St', u'position2': u'and', u'position1': u'between', u'crossRoad1': u'138th St / 68th Dr', u'crossRoad2': u' Jewel Ave ', u'eventText': u'Fire Department activity'};2;138th St S/B: fire department activity between 68th Dr and Jewel Ave;2019-07-05T04:48:48;4
1;0.0;0.0;0.07999999821186066;2019-07-05T06:36:04;520;Left and center lane blocked due to burst water main on 1st Ave Northbound from 24th St to 25th St.;http://content.mqcdn.com/mqtraffic/incid_mod.png;111075670;True;40.738171;-73.977608;{u'direction': u'Northbound', u'roadName': u'1st Ave', u'position2': u'to', u'position1': u'from', u'crossRoad1': u'1st Ave / 24th St', u'crossRoad2': u'1st Ave / 25th St', u'eventText': u'Lane (or Lanes) blocked, burst Water Main'};2;1st Ave N/B: left and center lane blocked from 24th St to 25th St;2019-07-04T12:00:02;4
